country,cost_usd,duration_hours,users_affected,year
India,2800000000,8927,10300000,2020
Belarus,336400000,218,7900000,2020
Yemen,236800000,912,7900000,2020
Myanmar,189900000,8808,200000,2020
Azerbaijan,122600000,1128,8000000,2020
Ethiopia,111300000,1536,19500000,2020
Sudan,68700000,36,13200000,2020
Turkey,51100000,18,61700000,2020
Syria,35900000,79,5800000,2020
Tanzania,27500000,432,14700000,2020
Chad,23100000,4608,2200000,2020
Algeria,9600000,26,21100000,2020
Guinea,6100000,238,2800000,2020
Jordan,4900000,92,6800000,2020
Venezuela,2400000,2,20500000,2020
Iran,2000000,9,58000000,2020
Iraq,400000,8,600000,2020
Somalia,200000,31,1600000,2020
Burundi,200000,24,1100000,2020
Kyrgyzstan,200000,9,3100000,2020
Togo,100000,24,1200000,2020